subject_label,image_outlier_percentage,contrast_name
497,10.443789453586472,Q02_v_baseline
512,13.970795893445981,Q02_v_baseline
518,4.544098519110751,Q02_v_baseline
519,0.18058654829099097,Q02_v_baseline
524,0.42481593298409326,Q02_v_baseline
525,1.021069756526374,Q02_v_baseline
526,0.629268544925876,Q02_v_baseline
541,0.12171692461903796,Q02_v_baseline
546,0.6825694204126442,Q02_v_baseline
548,0.23110304968516684,Q02_v_baseline
549,0.8866242646269138,Q02_v_baseline
553,1.280812082592491,Q02_v_baseline
554,0.3341248911110846,Q02_v_baseline
555,0.5457373221481049,Q02_v_baseline
556,0.9777130742274356,Q02_v_baseline
557,1.7796128128940387,Q02_v_baseline
558,0.2147945728571258,Q02_v_baseline
561,1.1586973902459399,Q02_v_baseline
567,0.9224233601031014,Q02_v_baseline
568,5.382195120981054,Q02_v_baseline
570,0.5771609726216473,Q02_v_baseline
572,0.5389752707803805,Q02_v_baseline
573,8.54047087743583,Q02_v_baseline
574,1.6209034896162735,Q02_v_baseline
577,0.022274992740738974,Q02_v_baseline
579,1.692899448296162,Q02_v_baseline
581,0.414076204341237,Q02_v_baseline
582,0.9625979005819342,Q02_v_baseline
583,0.9999880669681745,Q02_v_baseline
584,1.0998277665739868,Q02_v_baseline
585,1.745802556055417,Q02_v_baseline
586,0.9737353969523037,Q02_v_baseline
587,1.39019820765862,Q02_v_baseline
588,0.2458204556031551,Q02_v_baseline
589,0.26928875152643367,Q02_v_baseline
590,0.3325338202010318,Q02_v_baseline
591,0.17462003237829302,Q02_v_baseline
592,0.6404060412962455,Q02_v_baseline
593,2.71198036618497,Q02_v_baseline
594,0.2601400937936301,Q02_v_baseline
595,2.2720492595553754,Q02_v_baseline
596,0.6789895108650255,Q02_v_baseline
597,7.718682752393567,Q02_v_baseline
598,3.1025882746029283,Q02_v_baseline
601,0.7760448363782453,Q02_v_baseline
604,0.7259261027115826,Q02_v_baseline
605,0.02545713456084454,Q02_v_baseline
606,0.14359414963226375,Q02_v_baseline
607,0.023070528195765366,Q02_v_baseline
608,3.7497563672668983,Q02_v_baseline
609,1.1535264097882683,Q02_v_baseline
610,0.060460694582005786,Q02_v_baseline
611,1.1268759720448842,Q02_v_baseline
612,0.3178164142830436,Q02_v_baseline
613,1.6252789346189187,Q02_v_baseline
614,0.6467703249364566,Q02_v_baseline
616,0.16507360691797632,Q02_v_baseline
617,1.039367071991981,Q02_v_baseline
619,0.048527662756609906,Q02_v_baseline
621,0.15075396872750127,Q02_v_baseline
622,0.1471740591798825,Q02_v_baseline
624,0.18376869011109653,Q02_v_baseline
626,0.548123928513184,Q02_v_baseline
627,0.5668190117063042,Q02_v_baseline
628,1.4590120245184026,Q02_v_baseline
629,0.5453395544205917,Q02_v_baseline
631,0.4510686029999642,Q02_v_baseline
633,0.58869623671953,Q02_v_baseline
634,0.9741331646798169,Q02_v_baseline
635,0.8695202523438463,Q02_v_baseline
636,1.61175483188347,Q02_v_baseline
637,0.06602944276719053,Q02_v_baseline
638,4.831684586102791,Q02_v_baseline
641,0.5067560848518117,Q02_v_baseline
642,0.056085249579360626,Q02_v_baseline
643,0.30946329200526645,Q02_v_baseline
645,0.97453093240733,Q02_v_baseline
646,0.38026594750261533,Q02_v_baseline
647,0.6766029044999463,Q02_v_baseline
648,0.07875801004761279,Q02_v_baseline
061,21.715731315855418,Q03_v_baseline
130,1.7720552260712878,Q03_v_baseline
172,0.27048205470897324,Q03_v_baseline
192,3.89931703281186,Q03_v_baseline
234,1.5071419195474995,Q03_v_baseline
251,0.4411244098121343,Q03_v_baseline
358,0.00875089000529031,Q03_v_baseline
373,0.5735810630740286,Q03_v_baseline
445,3.6813403181346285,Q03_v_baseline
465,0.42282709434652727,Q03_v_baseline
483,17.079350683961607,Q03_v_baseline
491,16.7746606046865,Q03_v_baseline
495,17.10560335397748,Q03_v_baseline
497,10.235756932097072,Q03_v_baseline
512,19.40350751582121,Q03_v_baseline
